m,gmin,alpha,n_layers,N,lambda,C,Episode,mean,std
32,6,0.0001,3,50000,2,32,15000,89,120
32,6,0.0001,3,50000,2,64,15000,91,114
32,12,0.0001,3,50000,1,64,15000,101,105
32,12,0.0001,3,50000,1,128,15000,101,129
32,12,0.0001,3,50000,2,64,15000,102,111
32,6,0.0001,3,50000,1,128,15000,106,106
32,6,0.0001,3,50000,2,64,15000,106,133
32,12,0.0001,3,50000,1,64,15000,107,127
32,6,0.0001,3,50000,1,64,15000,111,149
32,6,0.0001,3,50000,1,32,15000,112,122
32,12,0.0001,3,50000,2,128,15000,114,135
32,6,0.0001,3,50000,2,128,15000,116,127
32,12,0.0001,3,50000,1,64,15000,117,154
32,12,0.0001,3,50000,2,64,15000,118,157
32,6,0.0001,3,50000,2,64,15000,121,147
32,6,0.0001,3,50000,2,128,15000,122,179
32,6,0.0001,3,50000,1,128,15000,124,173
32,12,0.0001,3,50000,2,32,15000,125,163
32,12,0.0001,3,50000,1,32,15000,131,210
32,6,0.0001,3,50000,1,32,15000,136,240
32,6,0.0001,3,50000,2,32,15000,138,151
32,6,0.0001,3,50000,2,128,15000,145,174
32,12,0.0001,3,50000,1,128,15000,150,190
32,6,0.0001,3,50000,2,32,15000,156,263
32,12,0.0001,3,50000,2,32,15000,182,237
32,12,0.0001,3,50000,1,128,15000,191,302
32,12,0.0001,3,50000,2,64,15000,239,318
32,12,0.0001,3,50000,2,128,15000,245,386
32,12,0.0001,3,50000,2,32,15000,263,355
32,6,0.0001,3,50000,1,64,15000,311,715
32,6,0.0001,3,50000,1,128,15000,318,427
32,12,0.0001,3,50000,2,128,15000,398,479
32,12,0.0001,3,50000,1,32,15000,438,1180
32,6,0.0001,3,50000,1,32,15000,617,1068
32,12,0.0001,3,50000,1,32,15000,777,936
32,6,0.0001,3,50000,1,64,15000,815,1577
