m,gmin,alpha,n_layers,N,lambda,C,Episode,mean,std
64,5,0.0001,6,15000,1,128,15000,86,94
64,5,0.0001,3,15000,2,64,15000,91,114
64,10,0.0001,3,15000,1,64,15000,101,105
64,10,5E-05,6,15000,2,128,15000,99,108
64,5,0.0001,3,15000,2,32,15000,89,120
64,5,0.0001,3,15000,1,128,15000,106,106
64,10,0.0001,3,15000,2,64,15000,102,111
64,10,0.0001,3,15000,1,128,15000,101,129
64,10,0.0001,6,15000,2,64,15000,103,128
64,10,5E-05,3,15000,2,32,15000,106,125
64,5,0.0001,3,15000,1,32,15000,112,122
64,10,0.0001,3,15000,1,64,15000,107,127
64,5,0.0001,6,15000,2,128,15000,107,129
64,5,0.0001,3,15000,2,64,15000,106,133
64,10,5E-05,6,15000,2,128,15000,112,127
64,5,0.0001,3,15000,2,128,15000,116,127
64,5,5E-05,6,15000,2,128,15000,110,138
64,10,0.0001,3,15000,2,128,15000,114,135
64,10,5E-05,3,15000,2,64,15000,122,127
64,5,5E-05,3,15000,1,32,15000,123,128
64,10,5E-05,3,15000,2,32,15000,120,136
64,10,5E-05,6,15000,2,128,15000,106,152
64,5,5E-05,6,15000,1,32,15000,118,141
64,5,0.0001,3,15000,1,64,15000,111,149
64,5,5E-05,3,15000,2,32,15000,124,140
64,10,0.0001,6,15000,2,128,15000,112,152
64,5,0.0001,6,15000,1,32,15000,110,155
64,5,0.0001,3,15000,2,64,15000,121,147
64,5,5E-05,3,15000,1,128,15000,128,140
64,10,5E-05,3,15000,1,32,15000,131,138
64,10,5E-05,6,15000,2,32,15000,118,152
64,10,0.0001,3,15000,1,64,15000,117,154
64,5,0.0001,6,15000,2,64,15000,110,164
64,10,0.0001,3,15000,2,64,15000,118,157
64,10,5E-05,3,15000,2,32,15000,121,157
64,10,5E-05,6,15000,2,64,15000,128,152
64,5,5E-05,6,15000,1,64,15000,123,158
64,10,5E-05,3,15000,1,32,15000,133,148
64,5,5E-05,3,15000,1,32,15000,118,164
64,10,0.0001,3,15000,2,32,15000,125,163
64,10,5E-05,6,15000,1,64,15000,125,163
64,5,0.0001,3,15000,2,32,15000,138,151
64,10,5E-05,6,15000,2,32,15000,126,163
64,10,0.0001,6,15000,2,32,15000,126,167
64,10,0.0001,6,15000,2,128,15000,153,142
64,5,0.0001,3,15000,1,128,15000,124,173
64,10,0.0001,6,15000,1,128,15000,127,173
64,5,0.0001,3,15000,2,128,15000,122,179
64,5,5E-05,6,15000,1,64,15000,123,178
64,10,5E-05,3,15000,1,128,15000,122,194
64,5,0.0001,3,15000,2,128,15000,145,174
64,5,5E-05,3,15000,1,32,15000,148,172
64,10,5E-05,6,15000,2,64,15000,144,180
64,10,5E-05,6,15000,1,32,15000,167,162
64,5,5E-05,3,15000,2,64,15000,144,192
64,10,5E-05,6,15000,2,64,15000,151,185
64,5,5E-05,3,15000,1,128,15000,155,183
64,10,0.0001,3,15000,1,128,15000,150,190
64,10,0.0001,3,15000,1,32,15000,131,210
64,5,5E-05,6,15000,1,128,15000,159,183
64,10,0.0001,6,15000,1,128,15000,136,211
64,5,5E-05,3,15000,1,128,15000,166,182
64,10,0.0001,6,15000,2,32,15000,151,199
64,10,5E-05,6,15000,2,32,15000,160,190
64,5,0.0001,6,15000,1,64,15000,141,210
64,10,0.0001,6,15000,2,128,15000,143,211
64,5,5E-05,6,15000,1,128,15000,165,198
64,5,5E-05,3,15000,2,32,15000,151,212
64,10,5E-05,6,15000,1,64,15000,157,213
64,10,5E-05,3,15000,1,32,15000,165,207
64,5,0.0001,3,15000,1,32,15000,136,240
64,10,5E-05,3,15000,2,64,15000,156,221
64,10,5E-05,3,15000,2,128,15000,171,206
64,5,0.0001,6,15000,1,64,15000,178,209
64,5,5E-05,6,15000,2,128,15000,165,222
64,10,5E-05,3,15000,1,64,15000,187,201
64,5,5E-05,3,15000,2,128,15000,154,242
64,10,0.0001,6,15000,1,32,15000,168,228
64,10,0.0001,6,15000,2,64,15000,170,227
64,5,0.0001,6,15000,2,64,15000,162,239
64,5,0.0001,6,15000,2,32,15000,142,259
64,10,0.0001,6,15000,1,64,15000,173,232
64,5,5E-05,6,15000,2,64,15000,142,269
64,5,0.0001,6,15000,1,64,15000,194,220
64,5,0.0001,3,15000,2,32,15000,156,263
64,5,0.0001,6,15000,2,128,15000,165,254
64,10,0.0001,3,15000,2,32,15000,182,237
64,5,0.0001,6,15000,1,128,15000,144,280
64,5,5E-05,6,15000,2,32,15000,179,245
64,5,5E-05,6,15000,2,64,15000,139,291
64,5,5E-05,6,15000,1,32,15000,190,249
64,10,0.0001,6,15000,1,32,15000,191,256
64,10,5E-05,3,15000,1,128,15000,184,274
64,5,5E-05,6,15000,2,32,15000,159,300
64,5,0.0001,6,15000,2,64,15000,197,271
64,5,5E-05,3,15000,2,32,15000,213,280
64,10,0.0001,3,15000,1,128,15000,191,302
64,5,5E-05,3,15000,1,64,15000,227,278
64,5,5E-05,3,15000,2,64,15000,242,270
64,10,0.0001,3,15000,2,64,15000,239,318
64,5,5E-05,3,15000,2,128,15000,218,343
64,10,5E-05,6,15000,1,32,15000,225,365
64,5,5E-05,3,15000,1,64,15000,268,324
64,10,0.0001,6,15000,1,64,15000,250,354
64,10,5E-05,3,15000,2,64,15000,296,313
64,10,0.0001,3,15000,2,32,15000,263,355
64,10,0.0001,3,15000,2,128,15000,245,386
64,10,0.0001,6,15000,2,32,15000,264,373
64,5,0.0001,6,15000,1,32,15000,171,473
64,10,5E-05,3,15000,2,128,15000,217,437
64,10,0.0001,6,15000,2,64,15000,309,379
64,5,5E-05,6,15000,2,32,15000,338,362
64,5,0.0001,6,15000,2,32,15000,286,421
64,5,5E-05,3,15000,2,128,15000,339,390
